epoch,lr,train_loss,train_acc,val_loss,val_acc
0,0.001,2.0867212,0.47775877,2.4476576,0.21829763
1,0.001,2.4805274,0.26964998,1.3419734,0.48176026
2,0.001,1.2923752,0.43283823,1.3049532,0.44991314
3,0.001,1.1913065,0.50390774,1.2594947,0.4551245
4,0.001,1.1337439,0.50285596,1.3415946,0.47944412
5,0.001,1.0630945,0.5325606,1.2290056,0.48176026
6,0.001,1.0002619,0.5719177,1.2176547,0.50376374
7,0.001,1.0389677,0.5576521,1.264046,0.44412276
8,0.001,0.992721,0.57342386,1.1413279,0.50318474
9,0.001,0.9568636,0.59448814,1.1059644,0.49913144
10,0.001,0.9555804,0.59251636,1.130877,0.5026057
11,0.001,0.96187603,0.59228265,1.075216,0.5002895
12,0.001,0.96098095,0.58817357,0.9991076,0.54545456
13,0.001,0.9046455,0.6101521,0.978424,0.55645627
14,0.001,0.91318595,0.60208803,0.9996107,0.54603356
15,0.001,0.93374985,0.59574014,1.1528038,0.5361899
16,0.001,0.9291541,0.5901545,0.9888116,0.5576144
17,0.001,0.885913,0.6289396,1.0319153,0.55298203
18,0.001,0.8641215,0.63595206,1.03129,0.551824
19,0.001,0.81390995,0.6466653,1.0654715,0.5240301
20,0.001,0.8180675,0.6516498,1.1240779,0.4539664
21,0.001,0.85337013,0.62845963,1.0679535,0.49507818
22,0.001,0.7980407,0.66795176,1.0177796,0.5408222
23,0.001,0.7761299,0.6749129,1.0485262,0.5610886
24,0.001,0.7420693,0.6881989,1.0355755,0.5744065
25,0.001,0.7840885,0.67925054,1.0795391,0.5130284
26,0.001,0.75079244,0.6867665,1.1364633,0.49971047
27,0.001,0.7249841,0.6985449,1.0053409,0.5471917
28,0.001,0.7489703,0.6845214,1.216027,0.56514186
29,0.001,0.7889873,0.6711179,0.98185974,0.6085698
30,0.001,0.70246106,0.70609695,1.0522338,0.55414015
31,0.001,0.66182154,0.7249767,1.056096,0.5657209
32,0.001,0.6933836,0.7015439,1.0711455,0.54371744
33,0.001,0.7014019,0.7061766,1.1767454,0.51823974
34,0.001,0.69268996,0.70818895,0.8810344,0.6392588
35,0.001,0.63674575,0.73488855,1.0087055,0.5917776
36,0.001,0.6276857,0.73843807,1.1655221,0.536769
37,0.001,0.64324856,0.733095,1.0527794,0.57788074
38,0.001,0.6492005,0.7387194,1.0349989,0.58425015
39,0.001,0.58466434,0.7604403,1.2053844,0.522293
40,0.001,0.5614354,0.7661888,1.1756865,0.5147655
41,0.001,0.60133713,0.744544,1.2328366,0.536769
42,0.001,0.63095677,0.7425261,1.208385,0.5361899
43,0.001,0.6301981,0.73500025,0.9675629,0.61841345
44,0.001,0.5906542,0.75049126,1.1097649,0.55645627
45,0.001,0.56949866,0.76371336,1.1794956,0.5761436
46,0.001,0.55866665,0.76938814,1.171458,0.54140127
47,0.001,0.5205594,0.7868309,1.004904,0.6282571
48,0.001,0.48740107,0.79786223,1.1477265,0.5854082
49,0.001,0.49693543,0.8022947,1.1058446,0.5981471
50,0.001,0.5366395,0.7815887,1.2113096,0.5269253
51,0.001,0.5197474,0.79076684,1.096675,0.6085698
52,0.001,0.49579534,0.7999777,1.1405665,0.6218877
53,0.001,0.50080794,0.7986222,1.1671627,0.5703532
54,0.001,0.48554167,0.80692726,1.0448607,0.61725533
55,0.001,0.4305684,0.8298111,1.1259898,0.60509557
56,0.001,0.41555128,0.83274,1.1687115,0.6508396
