epoch,lr,train_loss,train_acc,val_loss,val_acc
57,0.001,0.40870926,0.8371507,1.1159798,0.62767804
58,0.001,0.43995515,0.8188717,1.0726398,0.6606833
59,0.001,0.39481658,0.8435301,1.132152,0.64389116
60,0.001,0.39614835,0.84239286,1.1194555,0.6537348
61,0.001,0.382289,0.8482419,1.1116371,0.6508396
62,0.001,0.3968425,0.8377967,1.204838,0.6386798
63,0.001,0.36174515,0.85872835,1.1285094,0.65489286
64,0.001,0.32606274,0.8692442,1.1496599,0.64215404
65,0.001,0.31304428,0.8734912,1.2519149,0.6137811
66,0.001,0.31746814,0.8749981,1.0705837,0.67863345
67,0.001,0.31718025,0.8720928,1.1550711,0.63346845
68,0.001,0.28736994,0.88775575,1.3182889,0.62709904
69,0.001,0.26966915,0.893555,1.1044619,0.65720904
70,0.001,0.26157224,0.8965497,1.1969981,0.63173133
71,0.001,0.30010918,0.87920296,1.4163424,0.63173133
72,0.001,0.25876778,0.89895964,1.2095188,0.6259409
73,0.001,0.25011137,0.9016627,1.2789848,0.6224667
74,0.001,0.2556579,0.89960223,1.2913368,0.6363636
75,0.001,0.2822114,0.8844585,1.2738533,0.6340475
76,0.001,0.26441216,0.8972894,1.1896613,0.6340475
77,0.001,0.24786541,0.90398437,1.1731412,0.6850029
78,0.001,0.24371229,0.9013583,1.3704574,0.6340475
79,0.001,0.2664927,0.8936148,1.2815033,0.6514186
80,0.001,0.22438085,0.9097082,1.193924,0.65894616
81,0.001,0.21068929,0.91626644,1.2600709,0.6392588
82,0.001,0.20516674,0.9151627,1.2901722,0.65315574
83,0.001,0.2150322,0.9159626,1.3732996,0.62767804
84,0.001,0.19732404,0.92001396,1.3382516,0.641575
85,0.001,0.18901327,0.9214389,1.2760887,0.6554719
86,0.001,0.18414433,0.9255432,1.2683746,0.66184133
87,0.001,0.19986401,0.91833085,1.2999315,0.6670527
88,0.001,0.17730556,0.926176,1.3376462,0.6705269
89,0.001,0.16796024,0.93206817,1.3598791,0.64678633
90,0.001,0.15936396,0.9352808,1.39567,0.6519977
91,0.001,0.1745555,0.9273489,1.3814151,0.65315574
92,0.001,0.2248456,0.9089335,1.4291657,0.63983786
93,0.001,0.21989992,0.90819114,1.5655001,0.63810074
94,0.001,0.24141534,0.9032159,1.6552678,0.5911986
95,0.001,0.24147834,0.9033632,1.4822391,0.62015057
96,0.001,0.26321107,0.8948367,1.3792733,0.6450492
97,0.001,0.21650207,0.91255414,1.4602102,0.61725533
98,0.001,0.19197051,0.92059743,1.5022969,0.6363636
99,0.001,0.18361749,0.92723954,1.4781933,0.6328894
100,0.001,0.18980365,0.92267907,1.4750203,0.62709904
101,0.001,0.17933168,0.9289095,1.3139833,0.6601042
102,0.001,0.16393466,0.93310577,1.3460243,0.6508396
103,0.001,0.16515183,0.93386286,1.380113,0.6514186
104,0.001,0.1724648,0.92964745,1.490349,0.63346845
105,0.001,0.15722586,0.9355603,1.3522526,0.65663
106,0.001,0.15083233,0.93967706,1.333069,0.6658946
107,0.001,0.14742328,0.9388296,1.4065579,0.6479444
108,0.001,0.15906629,0.93532556,1.4214045,0.63520557
109,0.001,0.13606282,0.943853,1.3711472,0.66357845
110,0.001,0.13251428,0.9431061,1.3446451,0.66357845
111,0.001,0.12555847,0.9476753,1.4166532,0.65894616
112,0.001,0.13459602,0.94723046,1.5282818,0.64852345
113,0.001,0.12147436,0.9494665,1.3932961,0.66184133
114,0.001,0.11773076,0.94933087,1.3885539,0.66126233
115,0.001,0.11900278,0.9492596,1.5005189,0.6658946
116,0.001,0.12453799,0.9504604,1.6006272,0.65720904
117,0.001,0.11603973,0.9520641,1.6429538,0.6519977
118,0.001,0.10754728,0.9551554,1.6331239,0.6519977
119,0.001,0.10662191,0.9553532,1.552774,0.671106
120,0.001,0.11912263,0.9498655,1.5624499,0.67400116
121,0.001,0.11440385,0.9522939,1.5760822,0.66936886
122,0.001,0.103073426,0.95709795,1.6235634,0.66531557
123,0.001,0.108387224,0.9531309,1.6526388,0.6491025
124,0.001,0.10629468,0.9528342,1.6497793,0.6624204
125,0.001,0.11891968,0.9507059,1.6619225,0.6595252
126,0.001,0.1057551,0.95416784,1.5951009,0.6577881
127,0.001,0.106696114,0.9545403,1.6355404,0.6462073
128,0.001,0.10426087,0.9569472,1.6555086,0.65489286
129,0.001,0.11587678,0.94992447,1.7036226,0.6433121
130,0.001,0.10668956,0.95507795,1.6526539,0.6519977
131,0.001,0.09534158,0.9598394,1.6694146,0.6554719
132,0.001,0.09919299,0.95773464,1.6547014,0.6624204
133,0.001,0.10411833,0.9551686,1.6549325,0.6641575
134,0.001,0.09543596,0.9585616,1.7084771,0.6577881
135,0.001,0.08882433,0.9616953,1.6385678,0.6629994
136,0.001,0.08765481,0.96264166,1.6646396,0.66126233
137,0.001,0.09470413,0.9605498,1.6852834,0.65663
138,0.001,0.086579084,0.9631719,1.6601679,0.6734221
139,0.001,0.082950525,0.96442974,1.6980466,0.6658946
