epoch,lr,train_loss,train_acc,val_loss,val_acc,precision,recall,fscore,cohen_kappa_score
0,0.001,1.8698183,0.38964927,2.8636708,0.4464389,[0.9017094  0.41733063 0.         0.        ],[0.29998162 0.99084967 0.         0.        ],[0.44378052 0.58662884 0.         0.        ],0.11764313702927957
1,0.001,2.3684394,0.33757904,2.140857,0.38853502,[1.         0.39205302 0.         0.        ],[0.05546126 1.         0.         0.        ],[0.10404219 0.56309345 0.         0.        ],0.020034097009515823
2,0.001,1.3404524,0.41352898,1.3932714,0.5124493,[0.71422188 0.46048672 0.         0.        ],[0.74010596 0.91873601 0.         0.        ],[0.71886397 0.6118408  0.         0.        ],0.2494418721158739
3,0.001,1.2864484,0.4537017,1.8142931,0.25593516,[1.         0.19672447 0.27606203 0.        ],[0.07777298 0.1304322  0.89711206 0.        ],[0.14009851 0.15626974 0.41997798 0.        ],0.0023589945471449805
4,0.001,1.0533632,0.55402,1.584561,0.33410537,[0.85378788 0.24520202 0.26503582 0.        ],[0.53027666 0.05738975 0.91753101 0.        ],[0.64955976 0.09180531 0.40869763 0.        ],0.13525530511910566
5,0.001,1.0395522,0.553939,1.6128014,0.3387377,[0.89489489 0.29659331 0.27452547 0.        ],[0.44237629 0.10986835 0.91147041 0.        ],[0.58518862 0.15876132 0.41946177 0.        ],0.12959918952236696
6,0.001,1.0058867,0.57554704,1.5459801,0.3775333,[0.8719683  0.33995131 0.30441908 0.        ],[0.51676096 0.18906425 0.89408176 0.        ],[0.64337621 0.24226888 0.45143634 0.        ],0.17113880285592994
7,0.001,1.0160751,0.56705815,1.4705579,0.3908512,[0.87143127 0.34961697 0.3161359  0.        ],[0.53433784 0.21588954 0.88802115 0.        ],[0.65612278 0.26586035 0.46303129 0.        ],0.18535882392575864
8,0.001,0.97743607,0.5815581,1.4417942,0.39895773,[0.86916787 0.35371678 0.32381118 0.        ],[0.5499105  0.2267958  0.89025829 0.        ],[0.66789143 0.27468298 0.47111366 0.        ],0.1955586504700453
9,0.001,0.9573134,0.5937297,1.3242322,0.44817603,[0.8454321  0.38583112 0.38370199 0.        ],[0.59149885 0.33232016 0.88354688 0.        ],[0.69054338 0.35364197 0.52795647 0.        ],0.2494004793544429
10,0.001,0.9662582,0.5960036,1.4326226,0.4221193,[0.90633609 0.34386386 0.3658626  0.        ],[0.54277666 0.29251417 0.88578401 0.        ],[0.67436372 0.31326302 0.5116901  0.        ],0.21520384857022842
