0,0.001,2.1127892,0.065012835,1.9240336,0.38853502,[1.         0.39205302 0.         0.        ],[0.05546126 1.         0.         0.        ],[0.10404219 0.56309345 0.         0.        ],0.020034097009515823
1,0.001,2.819551,0.27349213,1.8211118,0.38853502,[1.         0.39205302 0.         0.        ],[0.05546126 1.         0.         0.        ],[0.10404219 0.56309345 0.         0.        ],0.020034097009515823
2,0.001,1.7520674,0.3836945,1.3788737,0.44701794,[0.37877308 0.54226066 0.         0.        ],[0.94083477 0.61940593 0.         0.        ],[0.5246491  0.57079149 0.         0.        ],0.21993813078229996
3,0.001,1.6153096,0.3762207,1.280314,0.48465547,[0.87373737 0.43866391 0.         0.        ],[0.50499776 0.97385621 0.         0.        ],[0.63232099 0.60356581 0.         0.        ],0.1889777653175878
4,0.001,1.5106894,0.40177712,1.3006116,0.5257672,[0.78563351 0.45830715 0.53592648 0.        ],[0.58470704 0.64857382 0.68308187 0.        ],[0.6617112  0.5355865  0.59574536 0.        ],0.31614279846310867
5,0.001,1.4560727,0.4312766,1.2597883,0.49971047,[0.88172043 0.43428969 0.49422335 0.        ],[0.45070963 0.56288825 0.83657942 0.        ],[0.58602018 0.48937459 0.61662909 0.        ],0.28896546030918485
6,0.001,1.4384626,0.43963304,1.2548704,0.5043428,[0.74789977 0.4508866  0.47368421 0.        ],[0.65941855 0.90302886 0.05779947 0.        ],[0.6933905  0.59870249 0.10231928 0.        ],0.23725297303016665
7,0.001,1.4395447,0.43803698,1.2749795,0.42501447,[0.73043414 0.32758699 0.36149606 0.        ],[0.68472382 0.21666224 0.88275371 0.        ],[0.7006604  0.25869463 0.50970622 0.        ],0.2255278358279975
8,0.001,1.3995283,0.45916724,1.2497698,0.52924144,[0.72129565 0.46897568 0.49734049 0.        ],[0.71664749 0.55408502 0.73383385 0.        ],[0.71208741 0.50628759 0.58644663 0.        ],0.33799704003119996
9,0.001,1.3937353,0.45479965,1.2168045,0.48755068,[0.71972351 0.44268636 0.41672568 0.        ],[0.73836466 0.37408852 0.84112264 0.        ],[0.72064706 0.40261288 0.55242557 0.        ],0.3023562189740933
10,0.001,1.4066778,0.44811657,1.1925104,0.5338738,[0.75652125 0.46847401 0.53425011 0.        ],[0.6284051  0.72000826 0.53581142 0.        ],[0.68028104 0.56653667 0.52863063 0.        ],0.31749570493726526
11,0.001,1.4039863,0.4563728,1.1787462,0.55587727,[0.62436399 0.52877979 0.52367824 0.        ],[0.81828491 0.60683495 0.65526175 0.        ],[0.69820271 0.5637168  0.57544577 0.        ],0.375201704966088
