22,0.001,1.3036352,0.49521875,1.0250503,0.5998842,[0.72493285 0.58064054 0.48290831 0.84149988],[0.76482787 0.56521224 0.66765735 0.36116402],[0.73578566 0.57105954 0.55250236 0.4899228 ],0.44360071886819047
23,0.001,1.3005952,0.5077748,1.0515981,0.60509557,[0.6039173  0.60888728 0.51247314 0.80906722],[0.87502477 0.55660775 0.5748186  0.40095238],[0.70461669 0.5815713  0.53371815 0.5262716 ],0.454154239201866
24,0.001,1.3123581,0.5022787,1.0396184,0.5662999,[0.69169172 0.50164357 0.64582082 0.55945419],[0.74839774 0.83811358 0.26412481 0.07428571],[0.71022272 0.62536777 0.36618854 0.12957482],0.3437988398550818
25,0.001,1.3094012,0.49793404,1.0119532,0.62767804,[0.75726162 0.60476219 0.50349588 0.78127611],[0.71311213 0.63755958 0.61766545 0.49656085],[0.72407164 0.61995177 0.54568095 0.6015982 ],0.48271329914913985
26,0.001,1.3005835,0.49371725,1.0195926,0.6108859,[0.72019545 0.5859164  0.48336695 0.82177159],[0.74764576 0.58700252 0.59529409 0.48661376],[0.72541449 0.5840725  0.51958857 0.59990412],0.45674030947419314
27,0.001,1.2683733,0.512153,1.0207906,0.5657209,[0.68138935 0.54180498 0.44317038 0.86861115],[0.75897264 0.47905162 0.70244051 0.29809524],[0.71239634 0.50708674 0.53612725 0.43526331],0.39706767203651605
28,0.001,1.2907377,0.5131742,0.9655711,0.6369427,[0.76255959 0.59733942 0.55866433 0.65570297],[0.68953698 0.69570388 0.43282007 0.70126984],[0.71065583 0.64233711 0.47667818 0.6746252 ],0.4900515447882779
29,0.001,1.2728518,0.5079027,0.97219765,0.61841345,[0.76212232 0.53617216 0.65522433 0.87921465],[0.68594969 0.85739837 0.21971369 0.51259259],[0.71519709 0.65893546 0.32182528 0.63815109],0.43697427584893206
30,0.001,1.2780162,0.5089855,0.9386001,0.6601042,[0.76177918 0.61584203 0.57759563 0.74692886],[0.72321314 0.69931827 0.54138771 0.62994709],[0.73344266 0.65481812 0.55093611 0.67379637],0.5231478225587831
31,0.001,1.2347853,0.5252572,0.9311635,0.6346265,[0.77814626 0.58334003 0.52429773 0.76479309],[0.70769323 0.64413319 0.57440771 0.57227513],[0.73232864 0.61206017 0.54231    0.6464327 ],0.48618167985266725
32,0.001,1.2423333,0.526289,0.91691095,0.65257674,[0.83230648 0.60846324 0.56028117 0.65432788],[0.63664813 0.74457943 0.47817258 0.70518519],[0.71115114 0.66937826 0.50460687 0.67679559],0.51451697671133
